iter	Passed	Remaining
0	10	10449
1	20	10275
2	31	10467
3	41	10211
4	50	10124
5	61	10140
6	70	10069
7	81	10126
8	93	10316
9	104	10372
10	115	10366
11	126	10390
12	137	10427
13	148	10440
14	158	10404
15	168	10354
16	180	10431
17	191	10440
18	203	10481
19	215	10556
20	227	10591
21	238	10603
22	248	10554
23	258	10507
24	268	10477
25	279	10460
26	290	10474
27	302	10497
28	313	10511
29	325	10520
30	336	10505
31	347	10521
32	359	10526
33	370	10514
34	380	10496
35	392	10510
36	405	10549
37	419	10613
38	431	10633
39	442	10631
40	453	10614
41	466	10633
42	476	10611
43	487	10599
44	501	10641
45	515	10687
46	527	10690
47	538	10680
48	549	10669
49	560	10648
50	571	10629
51	581	10606
52	600	10726
53	612	10722
54	623	10715
55	635	10718
56	647	10713
57	658	10702
58	669	10677
59	682	10693
60	693	10681
61	706	10686
62	718	10692
63	730	10686
64	741	10670
65	753	10658
66	764	10652
67	776	10636
68	787	10622
69	799	10618
70	811	10612
71	822	10605
72	835	10612
73	848	10612
74	861	10622
75	880	10707
76	899	10783
77	915	10824
78	930	10845
79	943	10849
80	955	10843
81	968	10847
82	981	10842
83	993	10834
84	1006	10837
85	1020	10842
86	1034	10853
87	1050	10881
88	1063	10887
89	1076	10883
90	1090	10889
91	1103	10895
92	1117	10895
93	1131	10906
94	1143	10898
95	1170	11026
96	1182	11010
97	1193	10983
98	1204	10961
99	1216	10950
100	1229	10939
101	1242	10934
102	1252	10903
103	1264	10892
104	1275	10875
105	1287	10862
106	1300	10850
107	1311	10829
108	1323	10820
109	1336	10812
110	1348	10797
111	1358	10771
112	1369	10750
113	1381	10733
114	1390	10704
115	1401	10682
116	1412	10663
117	1425	10657
118	1438	10646
119	1450	10638
120	1463	10630
121	1474	10610
122	1485	10590
123	1496	10568
124	1508	10556
125	1520	10545
126	1532	10533
127	1546	10532
128	1557	10518
129	1568	10499
130	1579	10474
131	1592	10470
132	1609	10489
133	1668	10782
134	1680	10768
135	1690	10740
136	1701	10715
137	1712	10698
138	1724	10682
139	1735	10662
140	1745	10635
141	1757	10618
142	1769	10603
143	1781	10592
144	1793	10575
145	1804	10555
146	1815	10532
147	1826	10512
148	1838	10501
149	1850	10484
150	1862	10470
151	1876	10469
152	1889	10460
153	1901	10446
154	1911	10422
155	1924	10410
156	1934	10386
157	1945	10367
158	1956	10348
159	1967	10329
160	1980	10322
161	1992	10309
162	2005	10296
163	2015	10273
164	2027	10260
165	2038	10240
166	2048	10217
167	2058	10194
168	2070	10181
169	2082	10166
170	2094	10153
171	2105	10134
172	2116	10119
173	2129	10107
174	2139	10087
175	2150	10067
176	2161	10051
177	2175	10046
178	2186	10029
179	2200	10023
180	2213	10013
181	2224	9996
182	2236	9983
183	2247	9968
184	2259	9952
185	2270	9937
186	2283	9927
187	2294	9912
188	2308	9907
189	2323	9906
190	2338	9906
191	2352	9899
192	2365	9892
193	2380	9888
194	2394	9886
195	2409	9883
196	2424	9880
197	2438	9877
198	2451	9868
199	2469	9876
200	2481	9866
201	2496	9863
202	2510	9857
203	2522	9844
204	2537	9841
205	2551	9833
206	2563	9818
207	2578	9816
208	2591	9809
209	2607	9808
210	2624	9812
211	2642	9823
212	2656	9816
213	2669	9804
214	2681	9791
215	2694	9778
216	2707	9770
217	2719	9756
218	2731	9740
219	2744	9729
220	2755	9714
221	2767	9699
222	2780	9687
223	2792	9675
224	2805	9664
225	2818	9654
226	2831	9641
227	2843	9627
228	2855	9615
229	2868	9604
230	2882	9596
231	2894	9582
232	2907	9571
233	2920	9558
234	2932	9545
235	2945	9535
236	2957	9522
237	2968	9504
238	2979	9486
239	2991	9472
240	3003	9457
241	3014	9443
242	3027	9431
243	3038	9414
244	3049	9397
245	3060	9380
246	3070	9362
247	3082	9348
248	3093	9329
249	3105	9316
250	3118	9304
251	3131	9294
252	3142	9278
253	3155	9268
254	3168	9256
255	3181	9246
256	3194	9236
257	3207	9226
258	3223	9221
259	3234	9204
260	3246	9192
261	3259	9182
262	3272	9171
263	3283	9154
264	3294	9138
265	3307	9127
266	3321	9118
267	3334	9108
268	3346	9094
269	3359	9082
270	3371	9070
271	3382	9054
272	3394	9038
273	3405	9023
274	3419	9015
275	3432	9004
276	3445	8993
277	3457	8979
278	3468	8963
279	3479	8948
280	3491	8933
281	3502	8918
282	3514	8904
283	3528	8895
284	3540	8882
285	3552	8868
286	3565	8857
287	3576	8843
288	3589	8829
289	3600	8816
290	3613	8803
291	3625	8790
292	3638	8778
293	3661	8793
294	3674	8780
295	3686	8767
296	3697	8752
297	3707	8734
298	3718	8718
299	3730	8704
300	3742	8691
301	3755	8680
302	3768	8668
303	3780	8654
304	3790	8636
305	3801	8621
306	3812	8606
307	3825	8594
308	3836	8580
309	3849	8568
310	3860	8553
311	3873	8540
312	3885	8528
313	3897	8514
314	3908	8499
315	3919	8483
316	3931	8471
317	3944	8460
318	3957	8448
319	3969	8434
320	3981	8422
321	3992	8406
322	4003	8391
323	4014	8375
324	4026	8362
325	4039	8351
326	4052	8339
327	4064	8328
328	4076	8313
329	4088	8300
330	4100	8287
331	4113	8276
332	4124	8262
333	4137	8250
334	4150	8238
335	4162	8226
336	4175	8214
337	4189	8204
338	4200	8191
339	4212	8176
340	4223	8162
341	4236	8150
342	4248	8138
343	4261	8126
344	4273	8113
345	4287	8103
346	4298	8089
347	4310	8075
348	4321	8061
349	4332	8045
350	4346	8036
351	4358	8023
352	4370	8010
353	4380	7994
354	4392	7981
355	4404	7966
356	4413	7949
357	4427	7939
358	4438	7925
359	4450	7912
360	4462	7899
361	4474	7885
362	4486	7873
363	4498	7860
364	4510	7846
365	4520	7830
366	4531	7816
367	4543	7802
368	4556	7790
